ts 	 trial # 	 led 	 alpha 	 gamma 	 theta 	 target_pos 	 center_pos 	 pointer_pt
64.43556443556443	1	False	38.879238794641594	90.90754429272907	39.198938135635025	[ 868.09543634 -196.61008483]	[313.61519368 250.152771  ]	[312.27022298 160.70519002]
64.49550449550449	1	False	38.85657537952978	90.88622513928166	39.15969008763594	[ 868.38754477 -196.25166038]	[313.65755208 250.35085042]	[312.34505208 160.8485616 ]
64.55544455544455	1	False	38.87952357760547	90.99338595099054	39.16890445841903	[ 868.31898774 -196.33582664]	[313.62125651 250.60681152]	[312.14135742 161.10172526]
64.61538461538461	1	False	38.87283821724615	91.01416759871327	39.15025322726603	[ 868.45774314 -196.16545043]	[313.68802897 250.72849528]	[312.17502848 161.18526204]
64.67532467532467	1	False	38.920745138604275	90.99702098008837	39.17145617133396	[ 868.30000001 -196.35913264]	[313.91483561 250.98950195]	[312.42643229 161.31408691]
64.73526473526474	1	False	38.98025891353394	90.93788708558367	39.19001169536021	[ 868.16189404 -196.52858359]	[314.17574056 251.44850667]	[312.77966309 161.76001994]
64.7952047952048	1	False	39.01506128103442	90.94914445166792	39.199470463632025	[ 868.09147274 -196.61494483]	[314.40443929 251.67649333]	[312.99198405 162.06664022]
64.85514485514486	1	False	39.1175810564653	91.08722172682361	39.29013104584096	[ 867.4157744  -197.44211147]	[314.49619548 251.86739095]	[312.86832682 162.28452555]
64.91508491508492	1	False	39.2274513393584	90.99635620356496	39.361490110717526	[ 866.88301132 -198.09242285]	[314.61234538 252.44997152]	[313.12768555 162.93754069]
64.97502497502497	1	False	None	None	39.42336669475121	[ 866.42038861 -198.65578072]	None	None
65.03496503496503	1	False	39.44161361669159	91.01952471308391	39.522071685900315	[ 865.68115832 -199.55340922]	[314.71270752 253.36543783]	[313.19195557 163.85863241]
65.09490509490509	1	False	39.527087264605825	91.01315645018897	39.58881234757762	[ 865.18044235 -200.15963014]	[314.75415039 253.69053141]	[313.2434082  164.18748983]
65.15484515484515	1	False	39.56429936308566	91.18506933347766	39.575530046507275	[ 865.28014793 -200.03903041]	[314.89776611 254.37542725]	[313.1175944  164.82581584]
65.21478521478521	1	False	39.699700052849394	91.32777609318723	39.682527192590136	[ 864.47616373 -201.00987845]	[314.99216715 254.8497111 ]	[312.98925781 165.31307983]
65.27472527472527	1	False	39.81382981719861	91.30695596469369	39.75040396561674	[ 863.96519348 -201.62498533]	[315.19262695 255.49198405]	[313.21964518 165.83685303]
65.33466533466533	1	False	39.89197592148753	91.45101500167615	39.796058952774665	[ 863.62109709 -202.03837521]	[315.26188151 256.00193278]	[313.05991618 166.20180257]
65.39460539460539	1	False	40.06927530532604	91.44268540227611	39.9229003536894	[ 862.66338043 -203.18543901]	[315.33294678 256.87693278]	[313.14308675 167.03779093]
65.45454545454545	1	False	40.21618831083767	91.57966294216575	40.02053227734752	[ 861.92448189 -204.06690731]	[315.5542806  257.58306885]	[313.1496582  167.74573771]
65.51448551448551	1	False	40.37110545989427	91.68833658658937	40.12590263276588	[ 861.12533325 -205.01682769]	[315.67256673 258.39017741]	[313.09877523 168.59718831]
